""	"review"
"11"	"We just returned from 3 days at this hotel. It was amazing! It was very clean, rooms were incredibly spacious and the hotel just underwent a renovation (within last 18 months I think?) so everything feels nice and new. Staff was great and very friendly. Loved how quiet the rooms were. We were traveling with our teen, great setup with spacious, comfortable  beds for all three of us. We chose this location because daughter is studying there for a few months. A little far from the action, but worth it for us, especially given the price. Loved the walk to all the other things to see, or used Free Now app for Uber-like taxi service. This was an awesome way to get around, or back to our hotel at the end of a long day. Breakfast was fine, but loved the bar area that opened up in the… Dear lindamA1389TX,  Thank you for such a nice review!   We are really happy to know that you have enjoyed our privilege location, thinking that is the best option in the city.   All the Barcelona 1882 staff work hard every day in order to make you feel at home.   We hope to have the opportunity to welcome you very soon,   Best regards,  Pau Casals Revenue Manager "
"12"	"For the price, I think this hotel is very good. It’s just 5 mins walk to La Sagrada Familia. The roof top has a good view of the cathedral too; it doesn’t have any beverage service so you may bring your own drinks there. Other than the cathedral, it is a bit of a walking distance to other popular spots. Taxi would cost €7-10 to other popular tourist spots.   The room is surprisingly spacious, in good shape. It is by no mean of any luxury, but clean and functional. The toiletries are not of decent quality, so bring your own would be a good idea if you stay here.   The bar at the lobby serves food and drinks at a very good price. They have house made vermouth, which I quite like.  Dear Soodye,  Thank you for such a nice review!   We are really happy to know that you have enjoyed our privilege location, thinking that is the best option in the city.   All the Barcelona 1882 staff work hard every day in order to make you feel at home.   We hope to have the opportunity to welcome you very soon,   Best regards,  Pau Casals Revenue Manager "
"13"	"My girlfriend and I stayed at Hotel Barcelona 1882 for 6 days. It was truly amazing. The hotel is beautiful! The staff members are friendly, helpful, and go over and beyond to make you feel welcomed. The bed is comfortable and the rain shower was a perfect touch at the end of the day. Everything is sleek, neat, and clean. Simple touches: wine tasting with cheese every night at 5:00-5:15pm. Also, the terrace is a beautiful spot to look over the city and take it all in. I will definitely be back to stay.  Dear Aserini,  Thank you for such a nive review!  We are really glad to know that you have enjoyed our privilege location in the center of the city but in the quiet area of l'Eixample.  We are happy that you have enjoyed our hotel, breakfast and swimming pool.  For us, is really important that all the Barcelona 1882 staff exceeded your expectations.   Will be a pleasure for us to welcome you again very soon,  With best regards,  Pau Casals Revenue Manager "
"14"	"Great location - sets you in the heart of the beautiful city, where most sites are easily walkable or accessible by metro. Regarding the hotel staff, they were truly a pleasure and most accommodating. Alberto, in the restaurant area felt like a friend, pointing my pal and I in the right direction to view Barcelona's best sites.   Appreciate everyone on staff. Good experience. Alberto made it great!  Dear  Z3284BQjareds  Thank you for your nice review about our Hotel.   We are delighted to see that you had a nice experience with us.   We look forward to welcoming you back!   Best regards,  Pau Casals Revenue Manager "
"15"	"Hotel Barcelona 1882 was INCREDIBLE. The staff was willing to adjust to our every need, including last minute menu changes. The hotel is small enough it's intimate but large enough you have plenty of space in your room and in the common areas to enjoy yourself. The amenities are wonderful and the location couldn't be better for a less touristy neighborhood.  I received great feedback from all of my colleagues and I would DEFINITELY recommend this location for any business meeting! Dear Theidaness,  Thank you for taking your time to write such a lovely review.   We are happy to hear that you have injoyed your stay in Hotel Barcelona 1882 and that you found our meeting facilities and the hotel perfect for you.   Our staff works hard to fulfil the expectations of all the clients and it is always nice to hear that they have succeded. We will pass them your regards, they will be happy to know your opinion.   We hope to welcome you back really soon.   With our best wishes,  Pau Casals Revenue Manager "
"16"	"What a gem. A wonderful location that is close to just about everything with a warm and friendly staff. The rooms are quite fine and the property has architectural attention to detail and is pleasing to the eye. Not to mention one of the better breakfasts in Europe. We enjoyed the very nicely designed bar and friendly wait staff with very reasonable prices. This is the perfect place when in Barcelona-a wonderful hotel that is away from the crunch with easy access to the rest of the city that is easy on the eyes with a great staff.  We will be back. Dear 716wallacec,  Thank you for taking the time to post this nice review from your recent stay at the Hotel Barcelona 1882.  We are very pleased to read that you had a wonderful stay with us.  We hope to be welcoming you back in the hotel in the near future.   Best regards,  Pau Casals Revenue Manager Hotel Barcelona 1882 "
"17"	"The hotel made our stay in Barcelona most enjoyable. Everything about the hotel exceeded our expectations.  A spacious clean room, excellent food including the tapas in the bar, and very pleasant and helpful staff. We will certainly go back. Dear BigBear999,  Thank you for such a nice review!   We are really happy to know that you have enjoyed our privilege location, thinking that is the best option in the city.   All the Barcelona 1882 staff work hard every day in order to make you feel at home.   We hope to have the opportunity to welcome you very soon,   Best regards,  Pau Casals Revenue Manager "
"18"	"The location close, but not in the fray, to Sagrada Familia is great, and a walk to other happening areas is excellent. Additionally, there were always taxis waiting out front for rides to anywhere in the city. The staff was exceptionally helpful, with suggestions of what to do and not to do, and with any needs we had during our stay, as well as brief and relevant history quips.   The breakfast was one of the best we have experienced in European hotels, with  well-prepared selections targeted to the clientele in addition to local favorites (including delicious pastries, fresh breads, cheeses, fruits and assorted fresh juices.)  The lobby area had a modern yet warm architectural feel, with many interesting elements from floor to walls to furnishings to ceiling, as did the… Dear  Lovethelake99,  Thank  you for sharing your experience in our Hotel!  We are glad that you have enjoyed our room and our hotel.  The staff would be happy to welcome you again the following time you are back in Barcelona!  With our best wishes,  Pau Casals Revenue Manager Hotel Barcelona 1882 "
"19"	"Given the ratings, Barcelona 1882 really does not need any further input.  Yet I felt compelled to add to the mix of what is one of the best hotels I've ever stayed in.  Given I've traveled domestic and international for 40 years on business, I'm frankly surprised to find such a good hotel on vacation.  It's hands down one of the most exquisitely designed and decorated hotels.  The service is extraordinarily good and to my biggest surprise, the food is also very good.  Breakfast is excellent, especially the freshly baked breads.  My family checked in Christmas eve and the kitchen was open then.  The staff served us until 9 pm without reservation.  Can't say enough about this place. Dear 823williel,  Thank you for taking the time to post this nice review from your recent stay at the Hotel Barcelona 1882.  We are very pleased to read that you had a wonderful stay with us.  We hope to be welcoming you back in the hotel in the near future.   Best regards.  Pau Casals Revenue Manager Hotel Barcelona 1882 "
"20"	"A fabulous, modern hotel just a few blocks from Sagrada Família.  Our room, 304, was spacious, beds were comfortable and there was an arm chair with coffee table as well as a long writing desk and chair.  Large area for suitcases and clothes.  The bathroom was very functional especially when travelling with a friend.  Separate toilet, then a central sink area and finally a separate shower room.  Reception staff were friendly.  Recommend Dear Yns_10  Thank you for taking the time to post this nice review from your recent stay at the Hotel Barcelona 1882.  We are very pleased to read that you had a wonderful stay with us.  We hope to be welcoming you back in the hotel in the near future.   Best regards.  Pau Casals Revenue Manager Hotel Barcelona 1882 "
"21"	"This new hotel was a delightful surprise. My husband and I loved the service - the concierge was exceptionally helpful - and the location just a few blocks from La Sagrada Familia can't be beat. The rooftop offers a great view, pool and relaxing area to enjoy a drink. Dear Adare1,  Thank you for taking the time to post this nice review from your recent stay at the Hotel Barcelona 1882.  We are very pleased to read that you had a wonderful stay with us.  We hope to be welcoming you back in the hotel in the near future.   Happy New Year 2020  Best regards.  Pau Casals Revenue Manager Hotel Barcelona 1882 "
"22"	"Great hotel with loads of amenities, amazing location and fantastic service.  It provided us everything we needed, and much more, for our European vacation, which started in beautiful Barcelona.  Don't miss this gem of a hotel. Dear 223jillc,  Thank you for taking the time to post this nice review from your recent stay at the Hotel Barcelona 1882.  We are very pleased to read that you had a wonderful stay with us.  We hope to be welcoming you back in the hotel in the near future.   Best regards.  Pau Casals Revenue Manager Hotel Barcelona 1882 "
"23"	"Great location - Near Familia Sagrada, city tour buses and walkable to great selection of restaurants. Front desk is pretty good except when you are sick. Queried on some Aquarius energy drink within the hotel and they didn't know their vending machine had it.  Dear Thanh C.  We are happy to hear that you have injoyed your stay in Hotel Barcelona 1882 and that you found the room and the hotel location perfect for you.  Thank you regardless for your very important feedback, your comments will be taken into consideration as we work to improve our very high standards of service.   We hope to be welcoming you back in the hotel in the near future.  Best regards and Happy New Year 2020!  Pau Casals Revenue Manager "
"24"	"A excellent hotel at a very reasonable rate. Helpful staff excellent breakfast and lovely pool and outdoor area. Located in walking distance of Sagrada Familia. Highly recommend ! The only down side is you are a metro or taxi ride to Barcelona center. This is not difficult to do and again would definitely stay here again. December was a good time to visit since there are less crowds and lower hotel rates.  Dear cc19572015,  Thank  you for sharing your experience in our Hotel!  We are glad that you have enjoyed our room and our location.   The staff would be happy to welcome you again the following time you are back in Barcelona!  With our best wishes,  Pau Casals Revenue Manager Hotel Barcelona 1882 "
"25"	"We stayed at Hotel Barcelona 1882 for 2 nights and it was fabulous.  Great location, the staff was friendly, and had a wonderful breakfast.  We were able to walk everywhere and also did a bus tour around the city (the stop was 3 blocks away).  I would recommend this hotel to anyone. Dear Mollie D  Thank you for your nice review about our Hotel.   We are delighted to see that you had a nice experience with us.   We look forward to welcoming you back!   Best regards,  Pau Casals Revenue Manager Hotel Barcelona 1882 "
